3,red,red,s,33.62216305732727
9,blue,yellow,y,17.10025930404663
8,yellow,blue,n,8.428754568099976
6,green,blue,n,64.71600818634033
4,yellow,red,y,6.099759340286255
16,yellow,green,n,5.7448413372039795
10,green,yellow,y,6.281057119369507
12,yellow,yellow,n,3.131255626678467
11,red,yellow,n,1.1656267642974854
14,green,green,n,0.4058115482330322
10,green,yellow,s,7.138207197189331
9,blue,yellow,y,2.0810933113098145
12,yellow,yellow,n,1.8289573192596436
15,red,green,y,1.6648228168487549
4,yellow,red,n,1.3739912509918213
8,yellow,blue,y,1.4263279438018799
12,yellow,yellow,s,24.19228458404541
12,yellow,yellow,s,21.956420183181763
8,yellow,blue,s,23.65581774711609
6,green,blue,s,29.956363916397095
3,red,red,s,30.330150842666626
8,yellow,blue,s,43.14778995513916
