Sequence,Age,Sex,Height,Drunk,Timestamp,Image Number,Color,Word,Response,Time Taken
6,12,f,124,d,1742514795.8847587
0,0,0,0,0,0,13,blue,green,y,2.286821126937866
0,0,0,0,0,0,5,blue,blue,y,14.267097473144531
0,0,0,0,0,0,8,yellow,blue,y,4.3196070194244385
0,0,0,0,0,0,4,yellow,red,n,2.2162013053894043
0,0,0,0,0,0,14,green,green,y,2.461211681365967
0,0,0,0,0,0,7,red,blue,n,1.3207550048828125
0,0,0,0,0,0,9,blue,yellow,y,2.2622146606445312
0,0,0,0,0,0,2,green,red,n,1.2383761405944824
0,0,0,0,0,0,3,red,red,y,1.2391493320465088
0,0,0,0,0,0,15,red,green,n,1.3663043975830078
0,0,0,0,0,0,11,red,yellow,y,2.239985704421997
0,0,0,0,0,0,1,blue,red,n,2.2331771850585938
0,0,0,0,0,0,10,green,yellow,y,2.4549338817596436
0,0,0,0,0,0,16,yellow,green,n,2.239396333694458
0,0,0,0,0,0,12,yellow,yellow,y,1.3576760292053223
0,0,0,0,0,0,12,yellow,yellow,n,1.4022343158721924
