Sequence,Age,Sex,Height,Drunk,Timestamp,Image Number,Color,Word,Response,Time Taken
2,23,f,312,d,1742512351.9371293
16,yellow,green,y,2.4296481609344482
1,blue,red,n,1.2186098098754883
10,green,yellow,y,2.210099220275879
8,yellow,blue,n,1.319911003112793
11,red,yellow,y,1.2309601306915283
3,red,red,y,3.3681962490081787
4,yellow,red,y,3.431739091873169
12,yellow,yellow,n,2.229581356048584
6,green,blue,y,1.2319142818450928
5,blue,blue,n,1.266913652420044
2,green,red,y,7.3327367305755615
13,blue,green,n,2.4996414184570312
9,blue,yellow,y,1.2146811485290527
15,red,green,n,2.376298666000366
14,green,green,y,8.247610092163086
14,green,green,n,3.2962050437927246
