Sequence,Age,Sex,Height,Drunk,Timestamp,Image Number,Color,Word,Response,Time Taken
1,22,m,120,s,1742448225.7208872
13,blue,green,n,5.559481620788574
7,red,blue,y,4.58220648765564
10,green,yellow,n,3.539637565612793
15,red,green,n,33.62901282310486
4,yellow,red,n,4.658229827880859
5,blue,blue,n,2.6301660537719727
6,green,blue,n,6.617688894271851
14,green,green,n,2.5455210208892822
16,yellow,green,y,2.511007070541382
1,blue,red,n,12.602575540542603
8,yellow,blue,n,2.4634127616882324
2,green,red,n,8.629307746887207
11,red,yellow,n,2.4888787269592285
9,blue,yellow,n,2.6938223838806152
3,red,red,n,2.546238899230957
3,red,red,n,2.537477493286133
1,22,m,212,d,1742511217.144262
5,blue,blue,y,6.225514650344849
7,red,blue,n,2.261190891265869
3,red,red,y,2.374555826187134
10,green,yellow,n,2.254976987838745
4,yellow,red,y,2.2522242069244385
8,yellow,blue,y,1.2401666641235352
11,red,yellow,n,1.233814001083374
2,green,red,y,5.43729567527771
16,yellow,green,n,2.233609914779663
1,blue,red,y,1.2331225872039795
6,green,blue,n,1.3855195045471191
12,yellow,yellow,y,1.3184351921081543
15,red,green,n,1.2936413288116455
13,blue,green,y,1.7583582401275635
14,green,green,n,5.3537209033966064
14,green,green,y,3.4737048149108887
