Sequence,Age,Sex,Height,Drunk,Timestamp,Image Number,Color,Word,Response,Time Taken
3,23,m,123,s,1742512597.9805849
8,yellow,blue,n,2.3008956909179688
15,red,green,y,2.2912070751190186
6,green,blue,n,2.34090518951416
10,green,yellow,y,9.24702000617981
4,yellow,red,n,2.2377753257751465
5,blue,blue,y,2.3289449214935303
7,red,blue,n,1.2534198760986328
1,blue,red,y,2.2256972789764404
3,red,red,y,7.317457914352417
12,yellow,yellow,n,1.4701387882232666
16,yellow,green,n,1.218285322189331
13,blue,green,n,2.3139748573303223
9,blue,yellow,y,2.2508184909820557
2,green,red,y,7.260762691497803
14,green,green,n,2.2530500888824463
14,green,green,y,6.421995162963867
