Sequence,Age,Sex,Height,Drunk,Timestamp,Image Number,Color,Word,Response,Time Taken
4,12,m,123,d,1742512762.928208
5,blue,blue,y,3.264632225036621
11,red,yellow,y,2.3062870502471924
1,blue,red,y,2.2428879737854004
2,green,red,y,3.357119083404541
8,yellow,blue,y,1.5155506134033203
4,yellow,red,y,7.440373182296753
10,green,yellow,y,2.304163932800293
3,red,red,y,2.4494831562042236
14,green,green,y,3.2262115478515625
15,red,green,y,3.4218897819519043
12,yellow,yellow,y,3.2404048442840576
6,green,blue,y,2.269437789916992
13,blue,green,y,2.244647264480591
7,red,blue,y,3.4382548332214355
16,yellow,green,y,2.3383800983428955
16,yellow,green,y,2.2302474975585938
