Sequence,Age,Sex,Height,Drunk,Timestamp,Image Number,Color,Word,Response,Time Taken
9,24,m,61,d,1742624695.4321308
0,0,0,0,0,0,1,blue,red,y,4.418654680252075
0,0,0,0,0,0,13,blue,green,y,2.955385684967041
0,0,0,0,0,0,9,blue,yellow,y,2.531020164489746
0,0,0,0,0,0,15,red,green,y,3.3124094009399414
0,0,0,0,0,0,10,green,yellow,y,2.4742934703826904
0,0,0,0,0,0,3,red,red,n,3.0212209224700928
0,0,0,0,0,0,4,yellow,red,y,2.7256922721862793
0,0,0,0,0,0,11,red,yellow,y,2.5718607902526855
0,0,0,0,0,0,6,green,blue,y,3.103832721710205
0,0,0,0,0,0,2,green,red,y,2.985568046569824
0,0,0,0,0,0,7,red,blue,y,3.3996598720550537
0,0,0,0,0,0,14,green,green,y,2.657207727432251
0,0,0,0,0,0,16,yellow,green,n,4.494695663452148
0,0,0,0,0,0,5,blue,blue,y,3.058440923690796
0,0,0,0,0,0,12,yellow,yellow,y,4.026233911514282
0,0,0,0,0,0,12,yellow,yellow,y,2.7474358081817627
0,0,0,0,0,0,0,0,0,0,0,0.51
0,0,0,0,0,0,0,0,0,0,0,0.9
