Sequence,Age,Sex,Height,Drunk,Timestamp,Image Number,Color,Word,Response,Time Taken
8,21,m,65,d,1742623975.511313
0,0,0,0,0,0,3,red,red,y,2.592186689376831
0,0,0,0,0,0,4,yellow,red,y,2.568848133087158
0,0,0,0,0,0,7,red,blue,y,2.7053966522216797
0,0,0,0,0,0,13,blue,green,y,2.5284104347229004
0,0,0,0,0,0,5,blue,blue,y,2.5726916790008545
0,0,0,0,0,0,2,green,red,y,3.4079346656799316
0,0,0,0,0,0,11,red,yellow,y,2.4851279258728027
0,0,0,0,0,0,9,blue,yellow,y,2.663867950439453
0,0,0,0,0,0,15,red,green,y,3.159809112548828
0,0,0,0,0,0,6,green,blue,y,2.498993396759033
0,0,0,0,0,0,16,yellow,green,y,2.955360174179077
0,0,0,0,0,0,10,green,yellow,y,2.879176616668701
0,0,0,0,0,0,14,green,green,y,2.4892537593841553
0,0,0,0,0,0,12,yellow,yellow,n,2.5120368003845215
0,0,0,0,0,0,8,yellow,blue,y,2.484076976776123
0,0,0,0,0,0,8,yellow,blue,y,2.5378050804138184
0,0,0,0,0,0,0,0,0,0,0,1.65
0,0,0,0,0,0,0,0,0,0,0,1.11
Timestamp,Pupil_X,Pupil_Y
480.8566666666666,581.8616333007812,78.26434326171875
513.3425000000001,585.089111328125,76.93992614746094
538.4008333333334,445.0303039550781,411.16131591796875
573.2808333333334,446.932373046875,399.0822448730469
701.7266666666666,492.8660583496094,258.6394348144531
730.4233333333333,502.84228515625,259.7860412597656
763.3858333333333,494.3451232910156,250.32557678222656
792.2333333333333,491.3742980957031,246.41629028320312
829.3108333333333,491.7261047363281,248.33364868164062
860.7066666666666,493.1925964355469,248.62130737304688
898.115,501.7431945800781,251.15940856933594
937.8816666666667,500.8606262207031,252.09967041015625
975.8025,454.13671875,397.3415222167969
993.6983333333334,450.5558776855469,422.9814758300781
1031.4216666666666,450.7154846191406,424.6469421386719
1064.1083333333333,600.1825561523438,92.85094451904297
1097.3933333333332,579.3035888671875,67.83900451660156
1127.6,587.82666015625,73.15882873535156
1165.3875,584.5272827148438,70.17884063720703
1196.0225,605.35791015625,94.38986206054688
1225.5916666666667,600.823486328125,92.27753448486328
1259.6225000000002,607.3289184570312,96.04679870605469
1294.4116666666666,451.38616943359375,387.3627014160156
1327.3416666666667,503.6202087402344,240.88546752929688
1358.2099999999998,428.27716064453125,249.99713134765625
1392.6425,429.0880432128906,250.11758422851562
1424.2250000000001,431.2946472167969,248.07489013671875
1459.67,448.88287353515625,217.3385772705078
1492.0116666666668,448.12945556640625,218.65292358398438
1526.4316666666666,454.0382080078125,219.03627014160156
1560.03,460.72711181640625,207.32083129882812
1593.3200000000002,437.32373046875,254.17274475097656
1626.5116666666665,505.027099609375,240.3885955810547
1662.5725,457.051025390625,392.6293029785156
1695.5725,452.5279541015625,415.60113525390625
1730.2658333333334,598.3258056640625,84.2695541381836
1759.355,585.055908203125,67.36557006835938
1793.7758333333334,593.6087036132812,81.45472717285156
1827.915,606.2546997070312,92.32439422607422
1858.5108333333333,601.763916015625,90.32298278808594
1891.9758333333334,617.0570068359375,108.05783081054688
1926.3216666666667,454.2056579589844,416.8331298828125
1961.7150000000001,455.2254333496094,409.7522277832031
1991.4866666666667,456.0017395019531,400.4170837402344
2023.581666666667,456.13323974609375,389.5770568847656
