Sequence,Age,Sex,Height,Drunk,Timestamp,Image Number,Color,Word,Response,Time Taken
2,22,f,165,s,1742618831.408293
0,0,0,0,0,0,11,red,yellow,y,3.546398878097534
0,0,0,0,0,0,5,blue,blue,y,2.5164601802825928
0,0,0,0,0,0,8,yellow,blue,y,2.6014723777770996
0,0,0,0,0,0,9,blue,yellow,y,2.5313923358917236
0,0,0,0,0,0,14,green,green,y,2.5838375091552734
0,0,0,0,0,0,3,red,red,n,2.5260086059570312
0,0,0,0,0,0,2,green,red,y,2.4531023502349854
0,0,0,0,0,0,10,green,yellow,y,2.4665677547454834
0,0,0,0,0,0,6,green,blue,y,2.465972661972046
0,0,0,0,0,0,12,yellow,yellow,y,2.521782636642456
0,0,0,0,0,0,16,yellow,green,y,2.486675500869751
0,0,0,0,0,0,15,red,green,y,2.5208866596221924
0,0,0,0,0,0,7,red,blue,y,2.5369303226470947
0,0,0,0,0,0,13,blue,green,y,2.468665361404419
0,0,0,0,0,0,1,blue,red,y,2.500709295272827
0,0,0,0,0,0,1,blue,red,y,2.5793049335479736
0,0,0,0,0,0,0,0,0,0,0,21.27
0,0,0,0,0,0,0,0,0,0,0,21.25
