Sequence,Age,Sex,Height,Drunk,Timestamp,Image Number,Color,Word,Response,Time Taken
3,23,m,178,d,1742619731.4287941
0,0,0,0,0,0,12,yellow,yellow,y,2.5768730640411377
0,0,0,0,0,0,2,green,red,y,2.689781904220581
0,0,0,0,0,0,4,yellow,red,y,2.5475594997406006
0,0,0,0,0,0,14,green,green,y,2.509949207305908
0,0,0,0,0,0,1,blue,red,n,2.5431458950042725
0,0,0,0,0,0,11,red,yellow,y,3.509986639022827
0,0,0,0,0,0,13,blue,green,y,2.4633026123046875
0,0,0,0,0,0,10,green,yellow,y,2.5572009086608887
0,0,0,0,0,0,8,yellow,blue,y,2.5232796669006348
0,0,0,0,0,0,16,yellow,green,y,2.564563274383545
0,0,0,0,0,0,3,red,red,y,3.584167242050171
0,0,0,0,0,0,6,green,blue,y,2.5732946395874023
0,0,0,0,0,0,9,blue,yellow,y,2.6067888736724854
0,0,0,0,0,0,15,red,green,y,3.5545151233673096
0,0,0,0,0,0,5,blue,blue,y,2.583998441696167
0,0,0,0,0,0,5,blue,blue,y,2.5446383953094482
0,0,0,0,0,0,0,0,0,0,0,0.42
