Timestamp,Pupil_X,Pupil_Y,Predicted_Screen_X,Predicted_Screen_Y
33.36666666666667,278.0675354003906,256.9601745605469,464,400
66.73333333333333,278.05145263671875,257.2247619628906,464,400
100.1,278.46661376953125,256.5772399902344,467,400
133.46666666666667,290.0780334472656,257.3031311035156,555,400
166.83333333333334,320.4266357421875,256.5486145019531,784,400
200.2,320.0976257324219,257.1660461425781,781,400
233.56666666666663,319.6657409667969,257.1306457519531,778,400
266.93333333333334,323.1811218261719,257.4017333984375,805,400
300.3,325.4715881347656,257.8873596191406,822,400
333.6666666666667,325.6473388671875,258.0975952148437,823,400
367.03333333333336,325.71435546875,258.2149658203125,824,400
400.4,325.8595275878906,258.0447082519531,825,400
433.76666666666665,327.5120849609375,257.7079772949219,838,400
467.1333333333333,327.374267578125,257.8047790527344,836,400
500.5,327.64715576171875,257.3409729003906,838,400
533.8666666666667,304.4071350097656,256.7074890136719,663,400
567.2333333333333,280.00128173828125,256.73211669921875,478,400
600.6,279.81109619140625,257.22509765625,477,400
633.9666666666667,280.24053955078125,257.357666015625,480,400
667.3333333333334,280.3572998046875,257.5511474609375,481,400
700.7,279.9407958984375,257.4651184082031,478,400
734.0666666666667,280.09210205078125,257.19097900390625,479,400
767.4333333333333,279.8822937011719,257.5843811035156,478,400
800.8,280.1729736328125,256.6990966796875,480,400
834.1666666666666,281.55438232421875,257.3992919921875,490,400
867.5333333333333,321.8822021484375,255.6457061767578,795,400
900.9,327.7846374511719,256.1132202148437,839,400
934.2666666666668,326.6390991210937,256.8443298339844,831,400
967.6333333333332,326.4580993652344,256.7904663085937,829,400
1001.0,326.1285095214844,256.6634216308594,827,400
1034.3666666666666,325.98944091796875,256.8591003417969,826,400
1067.7333333333331,325.81805419921875,256.6928100585937,825,400
1101.1,325.3337707519531,256.3849792480469,821,400
1134.4666666666667,327.1880187988281,257.1005859375,835,400
1167.8333333333333,326.8551025390625,256.82781982421875,832,400
1201.2,326.8233337402344,256.1905822753906,832,400
1234.5666666666666,308.4558410644531,254.63449096679688,693,400
1267.9333333333334,271.78240966796875,256.3319702148437,416,400
1301.3,272.4017333984375,259.61480712890625,421,400
1334.6666666666667,272.4716186523437,260.8706359863281,422,400
1368.0333333333333,273.2973022460937,258.56884765625,428,400
1401.4,276.176025390625,258.27655029296875,450,400
1434.7666666666669,276.1900329589844,258.2784118652344,450,400
1468.1333333333334,275.955078125,258.117431640625,448,400
1501.5,275.5636901855469,257.9046936035156,445,400
1534.8666666666666,276.4454345703125,257.1400756835937,452,400
1568.2333333333331,276.46112060546875,256.6688232421875,452,400
1601.6,276.4908752441406,256.4369812011719,452,400
1634.9666666666667,276.34136962890625,256.2411804199219,451,400
1668.3333333333333,307.5731506347656,254.7523956298828,687,400
1701.7,323.2328796386719,255.02069091796875,805,400
1735.0666666666666,322.763427734375,255.21913146972656,801,400
1768.4333333333334,322.4996643066406,255.09385681152344,799,400
1801.8,324.23876953125,254.9983367919922,812,400
1835.1666666666667,323.8109436035156,255.38421630859372,809,400
1868.5333333333333,323.795166015625,255.4857635498047,809,400
1901.9,323.6761169433594,254.93634033203125,808,400
1935.2666666666669,323.5672607421875,254.8812713623047,807,400
1968.6333333333332,323.5252990722656,254.49072265625,807,400
