Timestamp,Predicted_Screen_X,Predicted_Screen_Y
33.36666666666667,464.0,400.0
66.73333333333333,464.0,400.0
100.1,467.0,400.0
133.46666666666667,555.0,400.0
166.83333333333334,784.0,400.0
200.2,781.0,400.0
233.56666666666663,778.0,400.0
266.93333333333334,805.0,400.0
300.3,822.0,400.0
333.6666666666667,823.0,400.0
367.03333333333336,824.0,400.0
400.4,825.0,400.0
433.76666666666665,838.0,400.0
467.1333333333333,836.0,400.0
500.5,838.0,400.0
533.8666666666667,663.0,400.0
567.2333333333333,478.0,400.0
600.6,477.0,400.0
633.9666666666667,480.0,400.0
667.3333333333334,481.0,400.0
700.7,478.0,400.0
734.0666666666667,479.0,400.0
767.4333333333333,478.0,400.0
800.8,480.0,400.0
834.1666666666666,490.0,400.0
867.5333333333333,795.0,400.0
900.9,839.0,400.0
934.2666666666668,831.0,400.0
967.6333333333332,829.0,400.0
1001.0,827.0,400.0
1034.3666666666666,826.0,400.0
1067.7333333333331,825.0,400.0
1101.1,821.0,400.0
1134.4666666666667,835.0,400.0
1167.8333333333333,832.0,400.0
1201.2,832.0,400.0
1234.5666666666666,693.0,400.0
1267.9333333333334,416.0,400.0
1301.3,421.0,400.0
1334.6666666666667,422.0,400.0
1368.0333333333333,428.0,400.0
1401.4,450.0,400.0
1434.7666666666669,450.0,400.0
1468.1333333333334,448.0,400.0
1501.5,445.0,400.0
1534.8666666666666,452.0,400.0
1568.2333333333331,452.0,400.0
1601.6,452.0,400.0
1634.9666666666667,451.0,400.0
1668.3333333333333,687.0,400.0
1701.7,805.0,400.0
1735.0666666666666,801.0,400.0
1768.4333333333334,799.0,400.0
1801.8,812.0,400.0
1835.1666666666667,809.0,400.0
1868.5333333333333,809.0,400.0
1901.9,808.0,400.0
1935.2666666666669,807.0,400.0
1968.6333333333328,807.0,400.0
2002.0,809.0,400.0
2035.3666666666663,791.0,400.0
2068.733333333333,497.0,400.0
2102.1,478.0,400.0
2135.4666666666667,480.0,400.0
2168.833333333333,482.0,400.0
2202.2,451.0,400.0
2235.5666666666666,456.0,400.0
2268.9333333333334,457.0,400.0
2302.3,458.0,400.0
2335.6666666666665,462.0,400.0
2369.0333333333333,465.0,400.0
2402.4,480.0,400.0
2435.766666666667,794.0,400.0
2469.133333333333,829.0,400.0
2502.5,824.0,400.0
2535.866666666667,825.0,400.0
2569.233333333333,826.0,400.0
2602.6,826.0,400.0
2635.9666666666667,828.0,400.0
2669.333333333333,829.0,400.0
2702.7,829.0,400.0
2736.0666666666666,829.0,400.0
2769.4333333333334,833.0,400.0
2802.8,620.0,400.0
2836.1666666666665,501.0,400.0
2869.5333333333333,495.0,400.0
2902.9,496.0,400.0
2936.266666666667,500.0,400.0
2969.633333333333,494.0,400.0
3003.0,478.0,400.0
3036.366666666667,478.0,400.0
3069.733333333333,478.0,400.0
3103.1,478.0,400.0
3136.4666666666667,478.0,400.0
3169.833333333333,527.0,400.0
3203.2,784.0,400.0
3236.5666666666666,803.0,400.0
3269.9333333333334,800.0,400.0
3303.3,799.0,400.0
3336.6666666666665,844.0,400.0
3370.0333333333333,845.0,400.0
3403.4,845.0,400.0
3436.766666666667,844.0,400.0
3470.133333333333,846.0,400.0
3503.5,842.0,400.0
3536.866666666667,842.0,400.0
3570.233333333333,840.0,400.0
3603.6,535.0,400.0
3636.966666666666,451.0,400.0
3670.3333333333335,458.0,400.0
3703.7,457.0,400.0
3737.0666666666666,458.0,400.0
3770.433333333333,478.0,400.0
3803.8,481.0,400.0
3837.1666666666665,480.0,400.0
3870.533333333333,477.0,400.0
3903.9,477.0,400.0
3937.266666666667,520.0,400.0
3970.633333333333,815.0,400.0
4004.0,814.0,400.0
4037.366666666667,811.0,400.0
4070.733333333333,808.0,400.0
4104.1,819.0,400.0
4137.466666666666,844.0,400.0
4170.833333333333,846.0,400.0
4204.2,846.0,400.0
4237.566666666667,845.0,400.0
4270.933333333333,846.0,400.0
4304.3,848.0,400.0
4337.666666666667,798.0,400.0
4371.033333333334,608.0,400.0
4404.4,478.0,400.0
4437.766666666666,479.0,400.0
4471.133333333333,483.0,400.0
4504.5,484.0,400.0
4537.866666666667,489.0,400.0
4571.233333333334,487.0,400.0
4604.6,486.0,400.0
4637.966666666666,490.0,400.0
4671.333333333333,785.0,400.0
4704.7,873.0,400.0
